iterations,pop,mate,mutate,correct,accuracy,train_time,test_time
10,10,5,2,1167,79.3337865398,0.351000070572,0.0169999599457
100,10,5,2,1167,79.3337865398,1.9390001297,0.00899982452393
500,10,5,2,1155,78.5180149558,8.992000103,0.00899982452393
1000,10,5,2,1167,79.3337865398,18.143999815,0.0090000629425
2500,10,5,2,1167,79.3337865398,44.3259999752,0.0090000629425
5000,10,5,2,1083,73.6233854521,88.7320001125,0.00899982452393
10,20,10,5,1167,79.3337865398,0.287999868393,0.0090000629425
100,20,10,5,1167,79.3337865398,2.57000017166,0.00899982452393
500,20,10,5,1159,78.7899388171,12.9270000458,0.00800013542175
1000,20,10,5,1167,79.3337865398,25.6690001488,0.00899982452393
2500,20,10,5,1167,79.3337865398,64.4609999657,0.00799989700317
5000,20,10,5,1167,79.3337865398,129.028999805,0.00999999046326
10,50,20,5,1118,76.0027192386,0.451999902725,0.00799989700317
100,50,20,5,1167,79.3337865398,3.98799991608,0.00799989700317
500,50,20,5,1167,79.3337865398,19.3929998875,0.00699996948242
1000,50,20,5,1167,79.3337865398,38.7760000229,0.00699996948242
2500,50,20,5,1167,79.3337865398,97.6349999905,0.00699996948242
5000,50,20,5,1167,79.3337865398,807.204999924,0.00699996948242
10,100,50,10,1151,78.2460910945,0.905999898911,0.00699996948242
100,100,50,10,1167,79.3337865398,7.90400004387,0.00699996948242
500,100,50,10,1167,79.3337865398,39.2980000973,0.00699996948242
1000,100,50,10,1167,79.3337865398,79.3550000191,0.00699996948242
2500,100,50,10,1167,79.3337865398,197.136000156,0.00699996948242
5000,100,50,10,1167,79.3337865398,394.134000063,0.00699996948242
10,200,100,10,1166,79.2658055744,1.65000009537,0.00800013542175
100,200,100,10,1165,79.1978246091,14.242000103,0.00699996948242
500,200,100,10,1167,79.3337865398,70.0100002289,0.00899982452393
1000,200,100,10,1167,79.3337865398,141.414000034,0.00699996948242
2500,200,100,10,1167,79.3337865398,349.07400012,0.00699996948242
5000,200,100,10,1052,71.5159755269,713.110000134,0.00699996948242
10,500,250,20,1074,73.0115567641,4.03600001335,0.00699996948242
100,500,250,20,1159,78.7899388171,33.75,0.00699996948242
500,500,250,20,1156,78.5859959211,166.090000153,0.00699996948242
1000,500,250,20,1167,79.3337865398,331.758000135,0.00699996948242
2500,500,250,20,1167,79.3337865398,840.152000189,0.00599980354309
5000,500,250,20,1167,79.3337865398,1693.93799996,0.0140001773834
